reference,target,ref_k,ref_entropy,target_entropy,entropy_diff,cramers_v,p_value,rmsd,target_n
D1-Swiss,D2-Cultural,2,0.9378374318500291,0.8631205685666311,0.074716863283398,0.027229057431858553,0.7030498007360821,0.3684265090781474,21
D1-Swiss,D3-Academic,2,0.9378374318500291,0.9294494192699604,0.008388012580068716,0.002317988259529168,0.8604024815572998,0.30389201451453585,5581
D1-Swiss,D4-Tech,2,0.9378374318500291,0.9169236516066557,0.020913780243373425,0.01811108528133305,0.7108426137750736,0.30054802615395493,244
D2-Cultural,D1-Swiss,6,0.9368209565333996,0.912803908829085,0.024017047704314565,0.16352679710858503,0.3871541371325264,0.5212750876793674,175
D2-Cultural,D3-Academic,6,0.9368209565333996,0.9665316431337269,0.029710686600327274,0.022897629706836693,0.7096770448402858,0.5018282574330739,5581
D2-Cultural,D4-Tech,6,0.9368209565333996,0.969330583842354,0.03250962730895446,0.1438927130202099,0.3593894411271891,0.44547900514822003,244
D3-Academic,D1-Swiss,2,0.9808634788058923,0.9997880017729585,0.01892452296706615,0.02425272874754512,0.06576625989833257,0.36519004265664845,175
D3-Academic,D2-Cultural,2,0.9808634788058923,0.998363672593813,0.01750019378792067,0.004155428454273184,0.7557859375481812,0.28720576184228935,21
D3-Academic,D4-Tech,2,0.9808634788058923,0.9875572424026962,0.006693763596803848,0.005499091835926189,0.674704647568377,0.32336639064859474,244
D4-Tech,D1-Swiss,3,0.9349573083013749,0.9500016274619537,0.0150443191605788,0.075418034543512,0.30373160487056095,0.36521083167104385,175
D4-Tech,D2-Cultural,3,0.9349573083013749,0.889595191167314,0.04536211713406091,0.14007906141659304,0.0742784799290784,0.36322590164066404,21
D4-Tech,D3-Academic,3,0.9349573083013749,0.9794482415348046,0.044490933233429675,0.03452664832315965,0.031056085269016577,0.17944947430999283,5581
